"id";"aat";"term";"used_by"
"1";"http://vocab.getty.edu/aat/300015566";"Topografische prenten, tekeningen en foto's";"nharchief"
"2";"http://vocab.getty.edu/aat/300026819";"Prentbriefkaarten";"nharchief"
"3";"http://vocab.getty.edu/aat/300046300";"Foto";"nharchief"
"4";"http://vocab.getty.edu/aat/300041273";"Grafiek Drukwerk";"nharchief"
"5";"http://vocab.getty.edu/aat/300041273";"Historieprenten, tekeningen en foto's";"nharchief"
"6";"http://vocab.getty.edu/aat/300028094";"Kaarten en plattegronden";"nharchief"
"7";"http://vocab.getty.edu/aat/300033973";"Tekening";"nharchief"
"8";"http://vocab.getty.edu/aat/300034789";"Technische tekeningen";"nharchief"
"9";"http://vocab.getty.edu/aat/300015637";"Portretten";"nharchief"
"10";"http://vocab.getty.edu/aat/300028477";"Kopie (lichtdruk, blauwdruk, fotokopie, calques)";"nharchief"
"11";"http://vocab.getty.edu/aat/300041379";"Lithografie";"nharchief"
"12";"http://vocab.getty.edu/aat/300027221";"Affiches";"nharchief"
"13";"http://vocab.getty.edu/aat/300041341";"Kopergravure";"nharchief"
"14";"http://vocab.getty.edu/aat/300404216";"Aquarel";"nharchief"
"15";"http://vocab.getty.edu/aat/300027221";"Poster.";"iisg"
"16";"http://vocab.getty.edu/aat/300046300";"Photo.";"iisg"
"17";"http://vocab.getty.edu/aat/300202423";"Newspaper poster.";"iisg"
"18";"http://vocab.getty.edu/aat/300041273";"Print.";"iisg"
"19";"http://vocab.getty.edu/aat/300033973";"Drawing.";"iisg"
"20";"http://vocab.getty.edu/aat/300046300";"Half-tone photo.";"iisg"
"21";"http://vocab.getty.edu/aat/300127173";"Negative.";"iisg"
"22";"http://vocab.getty.edu/aat/300207379";"Sticker.";"iisg"
"23";"http://vocab.getty.edu/aat/300026819";"Picture postcard.";"iisg"
"24";;"Design.";"iisg"
"25";;"Small printed matter.";"iisg"
"26";"http://vocab.getty.edu/aat/300177435";"Painting.";"iisg"
"27";"http://vocab.getty.edu/aat/300033970";"Montage.";"iisg"
"28";"http://vocab.getty.edu/aat/300128371";"Slide.";"iisg"
"29";"http://vocab.getty.edu/aat/300010331";"Object.";"iisg"
"30";"http://vocab.getty.edu/aat/300046300";"Photo";"iisg"
"31";"http://vocab.getty.edu/aat/300195679";"Banner.";"iisg"
"32";"http://vocab.getty.edu/aat/300195678";"Flag.";"iisg"
"33";"http://vocab.getty.edu/aat/300046300";"foto";"saa"
"34";"http://vocab.getty.edu/aat/300034787";"bouwtekening";"saa"
"35";"http://vocab.getty.edu/aat/300041273";"prent";"saa"
"36";"http://vocab.getty.edu/aat/300033973";"tekening";"saa"
"37";"http://vocab.getty.edu/aat/300028094";"kaart";"saa"
"38";"http://vocab.getty.edu/aat/300026819";"prentbriefkaart";"saa"
"39";"http://vocab.getty.edu/aat/300027221";"affiche";"saa"